,Expresión
828,montar un mono
829,estar como mono con ñema
830,andar como mono con ñema
831,pagar las verdes y las maduras
832,enfriársele la pajarilla 
833,parar bola
834,parar bolas
835,parar un monte
836,parar la oreja
837,parar papelón
838,parar pelota
839,parar pelotas
840,pararse de mano
841,pasar al otro lado
842,pasar el páramo
843,pasar el rabo
844,pasar la buba y el clavo
845,pasar las bubas y el clavo
846,pasar la verada por el cachete
847,pasar por el filo
848,pasar por la vara de colgar gatos
849,pasar raqueta
850,pasarse al enemigo
851,pasarse de maraca
852,pegarle el ovejo
853,pegarle el plomo 
854,pegar el salto del tordito
855,pegarle las petacas 
856,pegarle un mecate 
857,pegarse de pico y pata
858,pegarse del apamate
859,pegarse al apamate
860,pegarse la cobija 
861,estar pelando una lata
862,pelar bollo
863,pelar bola
864,pelar bolas
865,pelar cable
866,pelar el cable
867,pelar gajo
868,pelar el gajo
869,pelar el diente
870,pelar el ojo
871,pelar pedal
872,pelar los dientes
873,pelar los ojos
874,pelar el pedal
875,pelar la cuerda
876,pelar la oreja
877,pelarse de cuatro
878,pelarse un bejuco
879,pelarse de un bejuco
880,darle la perra gana
881,picar los cabos
882,ganarse la pira
883,pisar la chancleta
884,pisar el peine
885,poner cachos
886,poner en los palitos
887,poner la torta
888,poner un zamuro de prendedor
889,ponerle el preparo 
890,ponerle la mano a algo
891,ponerle la vista 
892,ponerse chivo
893,estar chivo
894,ponerse en la cabuya
895,ponerse en la pomada
896,ponene las pilas
897,quebrársele el serrucho 
898,quebrar un plato
899,quedarse colgando de un bejuco
900,quedarse con los crespos hechos
901,comerse un queso frito
902,comerse el queso frito
903,parar el rabo
904,parar ese rabo
905,amarrarse un ramo
906,darse rejera
907,irse con el rejo en los cachos
908,tener de esa cabuya un rollo
909,sacar bejuco
910,sacar la chicha
911,sacar la piedra
912,sacar el gato
913,sacar la guaca
914,sacar la pata del barro 
915,salirse de cuerda
916,sacarle las patas del barro 
917,salirse de cuerda
918,salirse de la cuerda
919,saltar la talanquera
920,salvar el carapacho
921,salvar el voto
922,botar la segunda
923,serruchar las patas 
924,serrucharle las patas 
925,montar un show
926,robarse el show
927,soltar los perros 
928,tender la cama
929,tender la mesa
930,tenerla cogida con alguien
931,tirar al agua
932,tirar los perros
933,tirarse al agua
934,echar los perros
935,soltar los perros
936,tirar por mampuesto
937,tirar sapos con carabina
938,tirar un carro
939,echar el carro
940,tirar cualquier parada
941,tirarse al estricote
942,tirarse al pajonal
943,tirarse el pleno
944,tocar el violín
945,tocar no es entrar
946,tomar el banco
947,no verle el queso a la tostada
948,trabajar la pita 
949,fregar la pita 
950,llamar perro pero enseñarle el tramojo
951,tumbar la empalizada en el suelo
952,derribar la empalizada en el suelo
953,poner la empalizada en el suelo
954,trabajar el vidrio
955,trabajar en vidrio
956,voltear la espalda
957,vohear la tortilla
958,voltear las riendas
959,voltearle la tortilla 
960,gastar pólvora en zamuro
961,zumbarle el mango 
962,zumbar los motores
963,roncarle el mango 
964,roncar los motores
965,ponerle un chaleco de mecate 
966,caer un palo de agua
967,llegar el agua
968,meterse a
969,irse el agua
970,irse la luz
